,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,dif_tide_height,tide_variation,cluster
660,0.75,0.5569444444444445,0.17819444444444446,0.14150943396226418,0.15339078305135265,0.17947214080456825,0.5573070127599609,0.19526362821715815,0.09361702127659577,0.3236173393124066,1
704,0.625,0.5336111111111111,0.22133838383333326,0.3679245283018868,0.2625770631831538,0.2084244204594544,0.474118765755486,0.34148793565683644,0.09787234042553193,0.35276532137518685,1
1018,0.75,0.8469444444444444,0.07884259258333333,0.15094339622641512,0.22540277250875776,0.08563049878841769,0.6697296702032205,0.1647676496648793,0.06808510638297872,0.14648729446935727,3
1040,0.6666666666666666,0.7863888888888889,0.1256018518611111,0.19811320754716985,0.3720494565857565,0.0633431085192594,0.6896729522509353,0.20688114390080425,0.06808510638297872,0.36397608370702544,3
1138,0.75,0.9044444444444444,0.3154166666666667,0.33018867924528306,0.15691270131180762,0.15894428132761154,0.7077931648372993,0.4548704200402144,0.03829787234042553,0.10089686098654707,2
1162,0.75,0.8819444444444444,0.4183333333333333,0.2735849056603773,0.1644810790090293,0.1671554252591567,0.7159141135727505,0.5368632707774798,0.017021276595744685,0.11136023916292974,2
1230,0.5833333333333334,0.8177777777777777,0.7537962963888889,0.3584905660377359,0.10056200824531504,0.14545454572327374,0.7481216855474726,0.33567917781501344,0.05531914893617021,0.13303437967115098,2
1327,0.625,0.7833333333333333,0.049976851861111116,0.09433962264150944,0.4337954288712975,0.09032258043174723,0.6706135827697743,0.09225392567024128,0.017021276595744685,0.050074738415545585,3
1375,0.625,0.8552777777777777,0.10793981480555556,0.22641509433962265,0.4381416259175652,0.06686217010366269,0.6526038601657644,0.2525692582439678,0.10638297872340426,0.2615844544095665,3
1377,0.7083333333333334,0.9538888888888888,0.05162037036111111,0.2641509433962264,0.4353690519506263,0.0850439880551423,0.6867449915841914,0.13449508491957105,0.029787234042553193,0.14573991031390135,3
1553,0.6666666666666666,0.6802777777777778,0.07222222222222223,0.3490566037735849,0.3701760958070055,0.06275659848979626,0.267273129350994,0.08735478103217159,0.046808510638297884,0.08893871449925261,5
1693,0.5,0.4977777777777778,0.7087373736111111,0.169811320754717,0.06712081472677645,0.15467875217705074,0.2834949379149956,0.4511840929624664,0.059574468085106386,0.12556053811659193,7
2169,0.75,0.5130555555555555,0.9552777777777776,0.2358490566037736,0.3335331583883496,0.17067448684356,0.6012816737187043,0.36181858800268096,0.09361702127659577,0.4469357249626309,6
2286,0.6666666666666666,0.0,0.4720833333333333,0.0,0.19183214684638428,0.15249266889208038,0.6138774309410366,0.5980786414209115,0.03829787234042553,0.12481315396113606,8
2333,0.625,0.7580555555555555,0.5849305555555555,0.14150943396226418,0.18688647431135091,0.1917888563499798,0.6572444023003079,0.559092940147453,0.03404255319148936,0.10014947683109117,2
2353,0.4583333333333333,0.9908333333333332,0.07027777777777779,0.0660377358490566,0.17272386659739195,0.1853372432106363,0.6687905126454894,0.344950848994638,0.017021276595744685,0.029147982062780273,3
2504,0.75,0.11194444444444444,0.33648148138888884,0.37735849056603776,0.11719745222679072,0.06627566007419955,0.6384060107950522,0.3928731010053619,0.1276595744680851,0.4588938714499253,9
2527,0.7083333333333334,0.7808333333333334,0.09625,0.16037735849056606,0.3417010114844157,0.15249266889208038,0.6571891573091309,0.1992850759383378,0.046808510638297884,0.12929745889387145,3
2597,0.625,0.4097222222222222,0.3581712963888889,0.2924528301886793,0.17032596473225048,0.13958944261339346,0.6081319976010999,0.5504915102546917,0.06808510638297872,0.4252615844544096,9
2642,0.5,0.4386111111111111,0.6008101852777777,0.5,0.22307980513591288,0.3812316718782949,0.5574727464076232,0.6096961575067024,0.06382978723404256,0.20254110612855009,4
2647,0.7083333333333334,0.5638888888888889,0.2070138888888889,0.6132075471698114,0.1832146870663029,0.5835777129814846,0.555318208988014,0.5659070598525469,0.0723404255319149,0.20553064275037367,4
3152,0.75,0.2913888888888889,0.12166666666666665,0.15094339622641512,0.2621955788220854,0.14193548413887047,0.2448438419254109,0.3272018667560321,0.025531914893617023,0.12481315396113606,1
3219,0.5416666666666666,0.3836111111111111,0.6011616161111111,0.07547169811320756,0.15835008001500678,0.10285257292735543,0.2750575883986619,0.5307958233243967,0.06382978723404256,0.16666666666666669,7
3389,0.625,0.4855555555555556,0.09247685186111113,0.3867924528301887,0.5128512550294552,0.27038123196959096,0.33964348838822755,0.05160857908847183,0.029787234042553193,0.09491778774289986,5
3415,0.7083333333333334,0.5,0.08043981480555555,0.1320754716981132,0.3773698013125084,0.2017595310737266,0.3688126103767866,0.053954423592493306,0.042553191489361715,0.2017937219730942,5
3650,0.625,0.31166666666666665,0.07416666666666666,0.28301886792452835,0.16732858746826468,0.4087976538202458,0.6017236303334486,0.3045129579758713,0.046808510638297884,0.20553064275037367,1
3818,0.6666666666666666,0.32805555555555554,0.15558080808333333,0.1320754716981132,0.32568547967959754,0.08557717937491544,0.5744026891055991,0.27088918679624663,0.059574468085106386,0.2944693572496263,1
4057,0.625,0.3322222222222222,0.09454545455555556,0.2924528301886793,0.4367791817066625,0.09069581421482599,0.6482897629340867,0.0990840035522788,0.03829787234042553,0.2301943198804185,10
4150,0.75,0.33444444444444443,0.07569444444444444,0.5471698113207547,0.39670288485854777,0.12082111463245072,0.6736520334188725,0.2386058981233244,0.021276595744680854,0.1367713004484305,10
4172,0.6666666666666666,0.33611111111111114,0.3533101852777778,0.12264150943396228,0.1880104907965858,0.1771260999829035,0.5820565705898813,0.515862377144772,0.07659574468085106,0.41778774289985054,9
4174,0.75,0.33055555555555555,0.12736111111111112,0.11320754716981132,0.3617834394138924,0.1771260999829035,0.5984642017084456,0.3294235924932976,0.05106382978723405,0.2914798206278027,1
