,hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,cluster
43,0.8333333333333334,0.021276595744680854,0.5721296297222221,0.07800586488633568,0.4547770698990408,0.2358490566037736,10
90,0.7916666666666666,0.08936170212765958,0.5787962963888889,0.08973607040228412,0.3440239789471819,0.05660377358490566,10
298,0.6666666666666666,0.03829787234042553,0.07168981480555556,0.07096774171752909,0.4454852003177399,0.03773584905660378,13
348,0.75,0.03404255319148936,0.1018981481388889,0.1847507331811732,0.32184338694190723,0.3207547169811321,8
349,0.7916666666666666,0.05106382978723405,0.07516203702777778,0.1782991200418297,0.2209067065678184,0.2358490566037736,4
369,0.625,0.05531914893617021,0.4976157408333333,0.10205278594769564,0.2420382164902334,0.2169811320754717,2
371,0.7083333333333334,0.0723404255319149,0.16479166666666667,0.09560117280835218,0.27703259642718525,0.22641509433962265,4
396,0.75,0.03829787234042553,0.15761574074999998,0.05219941373658637,0.2811539901764059,0.0660377358490566,4
468,0.75,0.021276595744680854,0.5019675925,0.2375366569472227,0.25380292233905105,0.339622641509434,7
491,0.7083333333333334,0.046808510638297884,0.5533333333333333,0.159530792060887,0.3282877481538941,0.16037735849056606,10
493,0.7916666666666666,0.029787234042553193,0.5348148147222223,0.11847507310697365,0.1814911951822237,0.2924528301886793,16
534,0.5,0.042553191489361715,0.10629629630555557,0.3143695017746322,0.32221805913362594,0.2641509433962264,1
538,0.6666666666666666,0.06382978723404256,0.6293287036111112,0.2662756596519122,0.04443611838594815,0.3962264150943397,3
539,0.7083333333333334,0.06808510638297872,0.5802777777777778,0.22580645143127426,0.19160734354933728,0.3490566037735849,7
540,0.75,0.05106382978723405,0.5728009258333334,0.19413489717164453,0.28250280995868776,0.339622641509434,7
559,0.5416666666666666,0.042553191489361715,0.08608796297222222,0.1102639298792408,0.328962158045035,0.28301886792452835,1
560,0.5833333333333334,0.025531914893617023,0.04826388888888889,0.1102639298792408,0.2780816784201236,0.2075471698113208,9
561,0.625,0.046808510638297884,0.13131944444444446,0.11143694993816702,0.16230798044093486,0.19811320754716985,4
562,0.6666666666666666,0.07659574468085106,0.3219444444444445,0.10205278594769564,0.0787560884317591,0.16037735849056606,17
585,0.625,0.046808510638297884,0.03893518519444445,0.03695014663623463,0.274934432261466,0.28301886792452835,9
610,0.6666666666666666,0.05531914893617021,0.044583333333333336,0.08211143720401443,0.2917946795399887,0.2358490566037736,9
611,0.7083333333333334,0.0851063829787234,0.2817129630555556,0.08093841644127586,0.15968527536866775,0.169811320754717,17
612,0.75,0.08936170212765958,0.6781481480555556,0.07507331403520781,0.06878980889637235,0.11320754716981132,16
635,0.7083333333333334,0.07659574468085106,0.20477272727777776,0.258331112084066,0.2866923259409338,0.1320754716981132,4
653,0.4583333333333333,0.03829787234042553,0.5623379630555555,0.181818181626233,0.4884975644560861,0.2358490566037736,6
657,0.625,0.07659574468085106,0.09992424241666667,0.2129032258563996,0.4365339417217237,0.4150943396226416,8
658,0.6666666666666666,0.017021276595744685,0.07835648147222221,0.20762463347979465,0.4637692017809195,0.5660377358490567,8
659,0.7083333333333334,0.05106382978723405,0.12300925925,0.19589442796384615,0.3826901460392605,0.30188679245283023,8
660,0.75,0.09361702127659577,0.17819444444444446,0.17947214080456825,0.15339078305135265,0.14150943396226418,4
680,0.625,0.08936170212765958,0.14093434344444444,0.2269794721940128,0.3491467692341286,0.33018867924528306,8
681,0.6666666666666666,0.05106382978723405,0.0875,0.2363636361844841,0.4668415135372019,0.3962264150943397,8
682,0.7083333333333334,0.004255319148936171,0.09745370369444444,0.22580645143127426,0.468040464424812,0.3584905660377359,8
