year,month,day,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,tide_variation,drifting,drifting_num
2016,6,18,0.041666667,0.472777778,0.06375,0.339622642,0.466602595,0.345070423,0.174127716,0.206666667,0.084621045,0,0
2016,6,18,0.083333333,0.527222222,0.06625,0.264150943,0.412301778,0.323943662,0.16524029,0.24,0.134657837,0,0
2016,6,18,0.125,0.576388889,0.033888889,0.528301887,0.224891879,0.38028169,0.163265306,0.28,0.485651214,0,0
2016,6,18,0.166666667,0.534166667,0.813888889,0.339622642,0.059586737,0.348591549,0.166556945,0.396666667,0.259013981,0,0
2016,6,18,0.208333333,0.555,0.660277778,0.41509434,0.097068717,0.295774648,0.166556945,0.506666667,0.222222222,0,0
2016,6,18,0.25,0.570555556,0.613611111,0.367924528,0.295530995,0.278169014,0.171494404,0.613333333,0.303899926,0,0
2016,6,18,0.291666667,0.595555556,0.591527778,0.433962264,0.399807785,0.26056338,0.179394338,0.666666667,0.181015453,0,0
2016,6,18,0.333333333,0.548611111,0.545277778,0.235849057,0.359442576,0.26056338,0.185648453,0.66,0.260485651,0,0
2016,6,18,0.375,0.622222222,0.502222222,0.462264151,0.352715041,0.23943662,0.187294273,0.576666667,0.278145695,0,0
2016,6,18,0.416666667,0.61,0.425694444,0.462264151,0.199423354,0.306338028,0.184331797,0.463333333,0.334069169,0,0
2016,6,18,0.458333333,0.603055556,0.221805556,0.509433962,0.173954829,0.348591549,0.198156682,0.32,0.498896247,0,0
2016,6,18,0.5,0.593888889,0.12875,0.5,0.352715041,0.330985915,0.204081633,0.24,0.228844739,0,0
2016,6,18,0.541666667,0.618055556,0.096388889,0.396226415,0.36088419,0.313380282,0.19881501,0.18,0.299484915,0,0
2016,6,18,0.583333333,0.63,0.056111111,0.20754717,0.320038443,0.320422535,0.224160632,0.2,0.173657101,0,0
2016,6,18,0.625,0.779444444,0.096527778,0.150943396,0.212878424,0.271126761,0.238973009,0.246666667,0.460632818,0,0
2016,6,18,0.666666667,0.681388889,0.125277778,0.141509434,0.03748198,0.235915493,0.240618828,0.366666667,0.200883002,0,0
2016,6,18,0.708333333,0.583333333,0.594583333,0.132075472,0.160980298,0.207746479,0.234693878,0.48,0.441501104,0,0
2016,6,18,0.75,0.040277778,0.557222222,0.103773585,0.309466603,0.179577465,0.250164582,0.606666667,0.314201619,0,0
2016,6,18,0.791666667,0,0.571111111,0,0.431523306,0.172535211,0.250493746,0.7,0.133186166,0,0
2016,6,18,0.833333333,0.072222222,0.546527778,0.075471698,0.379144642,0.14084507,0.238973009,0.726666667,0.061810155,0,0
2016,6,18,0.875,0.043888889,0.520277778,0.08490566,0.349831812,0.126760563,0.222514812,0.7,0.136129507,0,0
2016,6,18,0.916666667,0.055833333,0.462638889,0.132075472,0.159058145,0.151408451,0.179723502,0.586666667,0.2133922,0,0
