hour,wave_height,dif_tide_height,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.04166666666666666,0.35425219926199464,0.029787234042553193,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.08333333333333333,0.3431085044793217,0.05531914893617021,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.125,0.38240469193722093,0.08085106382978724,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.16666666666666666,0.3618768331640767,0.09361702127659577,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.20833333333333331,0.29853372464481737,0.09787234042553193,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.25,0.2914956014760108,0.07659574468085106,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.2916666666666667,0.2697947212363155,0.03404255319148936,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.3333333333333333,0.2692082112068524,0.05531914893617021,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.375,0.25043988252209737,0.07659574468085106,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.4166666666666667,0.30557184781362395,0.08085106382978724,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.0,0.0
0.4583333333333333,0.34780058682646353,0.07659574468085106,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.025963149078726964,0.025963149078726964
0.5,0.34134897368712,0.046808510638297884,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.025963149078726964,0.025963149078726964
0.5416666666666666,0.33431085051831344,0.06382978723404256,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.025963149078726964,0.025963149078726964
0.5833333333333334,0.33137829896337323,0.05531914893617021,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.2772348033373063,0.025963149078726964,0.025963149078726964
