,hour,current_dir,wind_dir,tide_height,wind_speed,cluster
43,0.8333333333333334,0.5721296297222221,0.6775,0.7474307419571046,0.2358490566037736,4
90,0.7916666666666666,0.5787962963888889,0.6436111111111111,0.5571939231233243,0.05660377358490566,4
298,0.6666666666666666,0.07168981480555556,0.0,0.06758266306970509,0.03773584905660378,8
348,0.75,0.1018981481388889,0.03583333333333333,0.15382037533512066,0.3207547169811321,8
349,0.7916666666666666,0.07516203702777778,0.01888888888888889,0.2037533512064343,0.2358490566037736,8
369,0.625,0.4976157408333333,0.8877777777777779,0.503239499530831,0.2169811320754717,4
371,0.7083333333333334,0.16479166666666667,0.9130555555555556,0.32182752459785524,0.22641509433962265,6
396,0.75,0.15761574074999998,0.8022222222222223,0.3325513851876676,0.0660377358490566,6
468,0.75,0.5019675925,0.8380555555555556,0.6209785522788203,0.339622641509434,4
491,0.7083333333333334,0.5533333333333333,0.9980555555555556,0.642202859919571,0.16037735849056606,4
493,0.7916666666666666,0.5348148147222223,0.12027777777777778,0.6624218049597853,0.2924528301886793,5
534,0.5,0.10629629630555557,0.8105555555555556,0.2478775692359249,0.2641509433962264,3
538,0.6666666666666666,0.6293287036111112,0.6583333333333333,0.4223637176273457,0.3962264150943397,2
539,0.7083333333333334,0.5802777777777778,0.6547222222222222,0.5329535299597854,0.3490566037735849,2
540,0.75,0.5728009258333334,0.6583333333333333,0.6362823947721178,0.339622641509434,2
559,0.5416666666666666,0.08608796297222222,0.7105555555555556,0.16052278820375335,0.28301886792452835,3
560,0.5833333333333334,0.04826388888888889,0.74,0.15538427164879354,0.2075471698113208,3
561,0.625,0.13131944444444446,0.7780555555555556,0.20799821266756036,0.19811320754716985,3
562,0.6666666666666666,0.3219444444444445,0.7930555555555555,0.3061885611930295,0.16037735849056606,6
585,0.625,0.03893518519444445,0.6969444444444445,0.11047810542895442,0.28301886792452835,3
610,0.6666666666666666,0.044583333333333336,0.7274999999999999,0.10668007151474533,0.2358490566037736,3
611,0.7083333333333334,0.2817129630555556,0.8122222222222222,0.223637176072386,0.169811320754717,6
612,0.75,0.6781481480555556,0.065,0.3752234137399463,0.11320754716981132,5
635,0.7083333333333334,0.20477272727777776,0.6775,0.12086684537533512,0.1320754716981132,3
653,0.4583333333333333,0.5623379630555555,0.4908333333333333,0.7058757821715818,0.2358490566037736,7
657,0.625,0.09992424241666667,0.6344444444444445,0.10958445040214476,0.4150943396226416,1
658,0.6666666666666666,0.07835648147222221,0.6569444444444444,0.04211349416890081,0.5660377358490567,1
659,0.7083333333333334,0.12300925925,0.6533333333333333,0.07841823056300268,0.30188679245283023,1
660,0.75,0.17819444444444446,0.5569444444444445,0.19526362821715815,0.14150943396226418,1
680,0.625,0.14093434344444444,0.525,0.22508936548257366,0.33018867924528306,1
681,0.6666666666666666,0.0875,0.5513888888888889,0.09361036642091153,0.3962264150943397,1
682,0.7083333333333334,0.09745370369444444,0.4994444444444445,0.06680071494638071,0.3584905660377359,1
683,0.75,0.13636574075000002,0.5244444444444445,0.1272341376005362,0.24528301886792456,1
701,0.5,0.5459027777777778,0.5180555555555556,0.6853217158176943,0.4433962264150944,2
704,0.625,0.22133838383333326,0.5336111111111111,0.34148793565683644,0.3679245283018868,1
705,0.6666666666666666,0.12472222222222222,0.5433333333333333,0.1831992850536193,0.3867924528301887,1
706,0.7083333333333334,0.0901388888888889,0.5388888888888889,0.09092940127345844,0.2924528301886793,1
725,0.5,0.551875,0.5449999999999999,0.6588471849865951,0.28301886792452835,7
729,0.6666666666666666,0.17300925925000002,0.5697222222222222,0.2960232350536193,0.3113207547169811,1
733,0.8333333333333334,0.12156565655555555,0.5494444444444445,0.2345844504021448,0.17924528301886794,1
774,0.5833333333333334,0.5656944444444445,0.5325,0.6285746199731902,0.5283018867924528,2
775,0.625,0.5142592591666667,0.5527777777777778,0.6248882928954422,0.6698113207547169,2
776,0.6666666666666666,0.4652314813888889,0.5533333333333333,0.5717158176943699,0.6886792452830189,2
777,0.7083333333333334,0.2746527777777778,0.5566666666666666,0.4813449508713137,0.6509433962264152,2
779,0.7916666666666666,0.11150462963888888,0.6447222222222222,0.26686773907506695,0.5188679245283019,1
796,0.5,0.5142824075,0.6441666666666667,0.364946380697051,0.5660377358490567,2
801,0.7083333333333334,0.4797685186111111,0.6105555555555556,0.5938337801608577,0.2641509433962264,2
822,0.5833333333333334,0.471643518611111,0.5155555555555555,0.4130920464477211,0.4528301886792453,2
823,0.625,0.5399305555555556,0.5102777777777777,0.5130697050938337,0.5188679245283019,2
824,0.6666666666666666,0.5603935186111111,0.5197222222222222,0.5863494189008042,0.4622641509433963,2
825,0.7083333333333334,0.5439583333333333,0.5291666666666667,0.6214253800268096,0.14150943396226418,7
826,0.75,0.4540046297222222,0.5533333333333333,0.6063449510723861,0.4245283018867925,2
843,0.4583333333333333,0.11067129630555557,0.5591666666666667,0.19247095623324392,0.4056603773584906,1
846,0.5833333333333334,0.4793518519444444,0.5733333333333334,0.3026139410187667,0.3962264150943397,2
847,0.625,0.5647222222222222,0.6097222222222223,0.4092940125335121,0.4905660377358491,2
848,0.6666666666666666,0.5641435186111111,0.6422222222222221,0.5213360142761393,0.3584905660377359,2
849,0.7083333333333334,0.5668287036111112,0.6308333333333334,0.6204200180965148,0.19811320754716985,4
850,0.75,0.5571064813888891,0.6813888888888889,0.6772788203753349,0.19811320754716985,4
851,0.7916666666666666,0.5191435186111111,0.6652777777777777,0.6757149242627346,0.169811320754717,4
867,0.4583333333333333,0.14240740741666666,0.6733333333333333,0.2325737265415549,0.15094339622641512,3
872,0.6666666666666666,0.3187268519444445,0.7899999999999999,0.4085120643431636,0.17924528301886794,6
873,0.7083333333333334,0.5442824075,0.8002777777777779,0.5568588024798927,0.2169811320754717,4
874,0.75,0.5528472222222223,0.8283333333333333,0.6729222520107238,0.4433962264150944,4
892,0.5,0.12518518519444444,0.9969444444444444,0.2069928507372654,0.16037735849056606,3
894,0.5833333333333334,0.06673611111111111,0.7563888888888889,0.09986595174262736,0.1037735849056604,3
895,0.625,0.12995370369444445,0.8341666666666667,0.16923592493297587,0.2924528301886793,3
897,0.7083333333333334,0.5931481480555556,0.8555555555555555,0.44247095623324384,0.22641509433962265,4
