,hour,wave_height,current_dir,water_temp,wind_speed,cluster
43,0.8333333333333334,0.07800586488633568,0.5721296297222221,0.2618591633063816,0.2358490566037736,7
90,0.7916666666666666,0.08973607040228412,0.5787962963888889,0.29655273999603793,0.05660377358490566,7
298,0.6666666666666666,0.07096774171752909,0.07168981480555556,0.3435658516038793,0.03773584905660378,8
348,0.75,0.1847507331811732,0.1018981481388889,0.39378314684554616,0.3207547169811321,8
349,0.7916666666666666,0.1782991200418297,0.07516203702777778,0.3767678254645752,0.2358490566037736,8
369,0.625,0.10205278594769564,0.4976157408333333,0.3522944906017369,0.2169811320754717,7
371,0.7083333333333334,0.09560117280835218,0.16479166666666667,0.4096935770211236,0.22641509433962265,8
396,0.75,0.05219941373658637,0.15761574074999998,0.4274270773209865,0.0660377358490566,8
468,0.75,0.2375366569472227,0.5019675925,0.4493039188124055,0.339622641509434,4
491,0.7083333333333334,0.159530792060887,0.5533333333333333,0.4691919565318776,0.16037735849056606,6
493,0.7916666666666666,0.11847507310697365,0.5348148147222223,0.4384759873861155,0.2924528301886793,7
534,0.5,0.3143695017746322,0.10629629630555557,0.4061026811007966,0.2641509433962264,5
538,0.6666666666666666,0.2662756596519122,0.6293287036111112,0.4243333823436459,0.3962264150943397,4
539,0.7083333333333334,0.22580645143127426,0.5802777777777778,0.4276480552968913,0.3490566037735849,4
540,0.75,0.19413489717164453,0.5728009258333334,0.4242781380154033,0.339622641509434,4
559,0.5416666666666666,0.1102639298792408,0.08608796297222222,0.4289739244781894,0.28301886792452835,8
560,0.5833333333333334,0.1102639298792408,0.04826388888888889,0.4504640543460414,0.2075471698113208,8
561,0.625,0.11143694993816702,0.13131944444444446,0.4854890983310223,0.19811320754716985,8
562,0.6666666666666666,0.10205278594769564,0.3219444444444445,0.4842184741409013,0.16037735849056606,1
585,0.625,0.03695014663623463,0.03893518519444445,0.4706283150325956,0.28301886792452835,8
610,0.6666666666666666,0.08211143720401443,0.044583333333333336,0.5345462580390534,0.2358490566037736,2
611,0.7083333333333334,0.08093841644127586,0.2817129630555556,0.5380819096311379,0.169811320754717,1
612,0.75,0.07507331403520781,0.6781481480555556,0.5700685036299558,0.11320754716981132,6
635,0.7083333333333334,0.258331112084066,0.20477272727777776,0.5275151339945539,0.1320754716981132,8
653,0.4583333333333333,0.181818181626233,0.5623379630555555,0.4482542725981893,0.2358490566037736,3
657,0.625,0.2129032258563996,0.09992424241666667,0.4756254350988879,0.4150943396226416,5
658,0.6666666666666666,0.20762463347979465,0.07835648147222221,0.5448217441941139,0.5660377358490567,5
659,0.7083333333333334,0.19589442796384615,0.12300925925,0.5679692105385887,0.30188679245283023,5
660,0.75,0.17947214080456825,0.17819444444444446,0.5573070127599609,0.14150943396226418,8
680,0.625,0.2269794721940128,0.14093434344444444,0.4511571226285085,0.33018867924528306,5
681,0.6666666666666666,0.2363636361844841,0.0875,0.503885533221534,0.3962264150943397,5
682,0.7083333333333334,0.22580645143127426,0.09745370369444444,0.5591853272124887,0.3584905660377359,5
683,0.75,0.23519061612555794,0.13636574075000002,0.5651517385283302,0.24528301886792456,5
701,0.5,0.19472140790492,0.5459027777777778,0.503940778212711,0.4433962264150944,4
704,0.625,0.2084244204594544,0.22133838383333326,0.474118765755486,0.3679245283018868,5
705,0.6666666666666666,0.20117302034045112,0.12472222222222222,0.5015652621542621,0.3867924528301887,5
706,0.7083333333333334,0.20938416427199627,0.0901388888888889,0.5476502653351947,0.2924528301886793,5
725,0.5,0.08328445726294065,0.551875,0.5392420451647741,0.28301886792452835,3
729,0.6666666666666666,0.124340176216854,0.17300925925000002,0.5030568649832226,0.3113207547169811,8
733,0.8333333333333334,0.12524660061589366,0.12156565655555555,0.5383631543277443,0.17924528301886794,8
