,hour,current_dir,wind_speed,cluster
43,0.8333333333333334,0.5721296297222221,0.2358490566037736,2
90,0.7916666666666666,0.5787962963888889,0.05660377358490566,2
298,0.6666666666666666,0.07168981480555556,0.03773584905660378,1
348,0.75,0.1018981481388889,0.3207547169811321,1
349,0.7916666666666666,0.07516203702777778,0.2358490566037736,1
369,0.625,0.4976157408333333,0.2169811320754717,2
371,0.7083333333333334,0.16479166666666667,0.22641509433962265,1
396,0.75,0.15761574074999998,0.0660377358490566,1
468,0.75,0.5019675925,0.339622641509434,2
491,0.7083333333333334,0.5533333333333333,0.16037735849056606,2
493,0.7916666666666666,0.5348148147222223,0.2924528301886793,2
534,0.5,0.10629629630555557,0.2641509433962264,1
538,0.6666666666666666,0.6293287036111112,0.3962264150943397,2
539,0.7083333333333334,0.5802777777777778,0.3490566037735849,2
540,0.75,0.5728009258333334,0.339622641509434,2
559,0.5416666666666666,0.08608796297222222,0.28301886792452835,1
560,0.5833333333333334,0.04826388888888889,0.2075471698113208,1
561,0.625,0.13131944444444446,0.19811320754716985,1
562,0.6666666666666666,0.3219444444444445,0.16037735849056606,1
585,0.625,0.03893518519444445,0.28301886792452835,1
610,0.6666666666666666,0.044583333333333336,0.2358490566037736,1
611,0.7083333333333334,0.2817129630555556,0.169811320754717,1
612,0.75,0.6781481480555556,0.11320754716981132,2
635,0.7083333333333334,0.20477272727777776,0.1320754716981132,1
653,0.4583333333333333,0.5623379630555555,0.2358490566037736,2
657,0.625,0.09992424241666667,0.4150943396226416,1
658,0.6666666666666666,0.07835648147222221,0.5660377358490567,1
659,0.7083333333333334,0.12300925925,0.30188679245283023,1
660,0.75,0.17819444444444446,0.14150943396226418,1
680,0.625,0.14093434344444444,0.33018867924528306,1
681,0.6666666666666666,0.0875,0.3962264150943397,1
682,0.7083333333333334,0.09745370369444444,0.3584905660377359,1
683,0.75,0.13636574075000002,0.24528301886792456,1
701,0.5,0.5459027777777778,0.4433962264150944,2
704,0.625,0.22133838383333326,0.3679245283018868,1
705,0.6666666666666666,0.12472222222222222,0.3867924528301887,1
706,0.7083333333333334,0.0901388888888889,0.2924528301886793,1
725,0.5,0.551875,0.28301886792452835,2
729,0.6666666666666666,0.17300925925000002,0.3113207547169811,1
733,0.8333333333333334,0.12156565655555555,0.17924528301886794,1
774,0.5833333333333334,0.5656944444444445,0.5283018867924528,2
775,0.625,0.5142592591666667,0.6698113207547169,2
776,0.6666666666666666,0.4652314813888889,0.6886792452830189,2
777,0.7083333333333334,0.2746527777777778,0.6509433962264152,1
779,0.7916666666666666,0.11150462963888888,0.5188679245283019,1
796,0.5,0.5142824075,0.5660377358490567,2
801,0.7083333333333334,0.4797685186111111,0.2641509433962264,2
822,0.5833333333333334,0.471643518611111,0.4528301886792453,2
823,0.625,0.5399305555555556,0.5188679245283019,2
824,0.6666666666666666,0.5603935186111111,0.4622641509433963,2
825,0.7083333333333334,0.5439583333333333,0.14150943396226418,2
826,0.75,0.4540046297222222,0.4245283018867925,2
843,0.4583333333333333,0.11067129630555557,0.4056603773584906,1
846,0.5833333333333334,0.4793518519444444,0.3962264150943397,2
847,0.625,0.5647222222222222,0.4905660377358491,2
848,0.6666666666666666,0.5641435186111111,0.3584905660377359,2
849,0.7083333333333334,0.5668287036111112,0.19811320754716985,2
850,0.75,0.5571064813888891,0.19811320754716985,2
851,0.7916666666666666,0.5191435186111111,0.169811320754717,2
867,0.4583333333333333,0.14240740741666666,0.15094339622641512,1
872,0.6666666666666666,0.3187268519444445,0.17924528301886794,1
873,0.7083333333333334,0.5442824075,0.2169811320754717,2
874,0.75,0.5528472222222223,0.4433962264150944,2
892,0.5,0.12518518519444444,0.16037735849056606,1
894,0.5833333333333334,0.06673611111111111,0.1037735849056604,1
895,0.625,0.12995370369444445,0.2924528301886793,1
897,0.7083333333333334,0.5931481480555556,0.22641509433962265,2
898,0.75,0.563125,0.2735849056603773,2
918,0.5833333333333334,0.05993055555555556,0.05660377358490566,1
921,0.7083333333333334,0.4812962963888889,0.3113207547169811,2
922,0.75,0.5696527777777778,0.169811320754717,2
943,0.625,0.058171296305555564,0.12264150943396228,1
944,0.6666666666666666,0.042847222222222224,0.15094339622641512,1
964,0.5,0.4871990741666667,0.07547169811320756,2
965,0.5416666666666666,0.2506018518611111,0.24528301886792456,1
969,0.7083333333333334,0.07770833333333334,0.14150943396226418,1
970,0.75,0.4553703702777778,0.22641509433962265,2
988,0.5,0.5298842591666667,0.33018867924528306,2
990,0.5833333333333334,0.1626388888888889,0.2641509433962264,1
991,0.625,0.09101851852777776,0.28301886792452835,1
992,0.6666666666666666,0.08203703702777779,0.17924528301886794,1
993,0.7083333333333334,0.08699494949999999,0.14150943396226418,1
994,0.75,0.11037037036111112,0.17924528301886794,1
1018,0.75,0.07884259258333333,0.15094339622641512,1
1019,0.7916666666666666,0.2675231481388889,0.2641509433962264,1
1035,0.4583333333333333,0.5652546297222222,0.0660377358490566,2
1039,0.625,0.17694444444444446,0.16037735849056606,1
1040,0.6666666666666666,0.1256018518611111,0.19811320754716985,1
1041,0.7083333333333334,0.09490740741666666,0.22641509433962265,1
1064,0.6666666666666666,0.15458333333333332,0.3490566037735849,1
1065,0.7083333333333334,0.13780092591666668,0.3679245283018868,1
1089,0.7083333333333334,0.14314814813888888,0.2358490566037736,1
1090,0.75,0.09895833333333333,0.03773584905660378,1
1138,0.75,0.3154166666666667,0.33018867924528306,1
1157,0.5416666666666666,0.5834953702777779,0.1037735849056604,2
1182,0.5833333333333334,0.5736111111111111,0.2169811320754717,2
1183,0.625,0.5725694444444445,0.2735849056603773,2
1184,0.6666666666666666,0.5716666666666667,0.22641509433962265,2
1186,0.75,0.5000231480555556,0.19811320754716985,2
1205,0.5416666666666666,0.4352546297222222,0.17924528301886794,2
1207,0.625,0.5810185186111111,0.169811320754717,2
1209,0.7083333333333334,0.5870833333333333,0.169811320754717,2
1232,0.6666666666666666,0.5575925925,0.4905660377358491,2
1278,0.5833333333333334,0.05064814813888889,0.19811320754716985,1
1302,0.5833333333333334,0.06206018519444445,0.2735849056603773,1
1303,0.625,0.035162037027777766,0.24528301886792456,1
1326,0.5833333333333334,0.08717592591666666,0.169811320754717,1
1328,0.6666666666666666,0.03877314813888889,0.18867924528301888,1
1329,0.7083333333333334,0.02203703703611111,0.09433962264150944,1
1350,0.5833333333333334,0.12868055555555558,0.169811320754717,1
1351,0.625,0.08590277777777779,0.16037735849056606,1
1352,0.6666666666666666,0.06247685186111111,0.0660377358490566,1
1353,0.7083333333333334,0.04668981480555556,0.2547169811320755,1
