hour,tide_variation,current_dir,wind_dir,current_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.070254111,0.065231481,0.472777778,0.431772199,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.121076233,0.066666667,0.527222222,0.382090671,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.477578475,0.107685185,0.576388889,0.21251405,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.247384155,0.529652778,0.534166667,0.064818284,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.210014948,0.667453704,0.555,0.099213188,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.292974589,0.612638889,0.570555556,0.252978644,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.168161435,0.591157408,0.595555556,0.368977145,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.248878924,0.542407408,0.548611111,0.335481454,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.266816143,0.502407408,0.622222222,0.322967403,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.323617339,0.419606481,0.61,0.196178344,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.49103139,0.226435185,0.603055556,0.167103784,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.5,0.216741405,0.128842593,0.593888889,0.317647059,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.541666667,0.288490284,0.092314815,0.618055556,0.32798801,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.583333333,0.160687593,0.055,0.63,0.294792057,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.625,0.452167414,0.091111111,0.779444444,0.202322967,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.666666667,0.188340807,0.240949074,0.681388889,0.037766954,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.708333333,0.432735426,0.589722222,0.583333333,0.142300487,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.75,0.303437967,0.556435185,0.040277778,0.278905957,0,1,5,0.103703704,0.319224403,0.05146232,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.016208505
0.791666667,0.119581465,0.56912037,0,0.400524541,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.833333333,0.047085202,0.546550926,0.072222222,0.356837767,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.875,0.122571001,0.52025463,0.043888889,0.323716748,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.201046338,0.435439815,0.055833333,0.152191832,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.307174888,0.178449074,0.133611111,0.184938179,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.491778774,0.101342593,0.117222222,0.382914949,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.234678625,0.074513889,0.090277778,0.456650431,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.032137519,0.057060185,0.126944444,0.435893593,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.141255605,0.045833333,0.146388889,0.370550768,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.157698057,0.7375,0.222222222,0.252603971,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.564275037,0.914884259,0.028611111,0.116672911,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.205530643,0.661412037,0.146111111,0.087523417,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.100149477,0.56337963,0,0.189584114,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.047832586,0.556365741,0.413611111,0.348070438,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.161434978,0.525347222,0.474722222,0.378269015,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.444693572,0.515740741,0.610277778,0.369201948,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.36696562,0.362314815,0.618611111,0.097939303,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.5,0.358744395,0.160393519,0.588333333,0.199400524,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.541666667,0.11509716,0.07912037,0.654166667,0.327913076,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.583333333,0.068759342,0.056180556,0.673333333,0.351592357,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.625,0.198804185,0.078935185,0.618055556,0.271487448,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
