hour,dif_tide_height,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.029787234,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.083333333,0.055319149,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.125,0.080851064,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.166666667,0.093617021,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.208333333,0.09787234,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.25,0.076595745,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.291666667,0.034042553,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.333333333,0.055319149,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.375,0.076595745,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.416666667,0.080851064,0.479892761,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.458333333,0.076595745,0.341823056,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.5,0.046808511,0.237600536,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.541666667,0.063829787,0.188002681,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.583333333,0.055319149,0.19593387,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.625,0.072340426,0.253798034,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.666666667,0.072340426,0.363827419,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.708333333,0.089361702,0.480563003,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.75,0.063829787,0.605786416,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.791666667,0.05106383,0.696045576,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.833333333,0.025531915,0.729445934,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.875,0.042553191,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.916666667,0.085106383,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.958333333,0.089361702,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
1,0.114893617,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.041666667,0.046808511,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.083333333,0.017021277,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.125,0.05106383,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.166666667,0.085106383,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.208333333,0.119148936,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.25,0.059574468,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.291666667,0.055319149,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.333333333,0.017021277,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.375,0.063829787,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.416666667,0.093617021,0.525022341,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.458333333,0.068085106,0.407283289,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.5,0.080851064,0.271112601,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.541666667,0.05106383,0.171470063,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.583333333,0.029787234,0.136617516,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.625,0.05106383,0.15113941,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.666666667,0.080851064,0.258378016,0,1,2,0.427272727,0.416174036,0.347173549,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.051224174
0.708333333,0.072340426,0.394883825,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.75,0.093617021,0.534182306,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.791666667,0.059574468,0.673815907,0,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.833333333,0.021276596,0.747430742,1,1,1,0.572727273,0.416174036,0.488623894,0.985981308,0.050602979,0.949397021,0.385803238,0.119886364,0.06866219
0.875,0.029787234,0.750670241,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.916666667,0.055319149,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.958333333,0.09787234,0.545911528,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
1,0.093617021,0.367515639,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.041666667,0.085106383,0.203522612,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.083333333,0.029787234,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.125,0.034042553,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.166666667,0.076595745,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.208333333,0.106382979,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.25,0.089361702,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.291666667,0.055319149,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
0.333333333,0.034042553,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.385803238,0,0
