,hour,dif_tide_height,tide_height,cluster
43,0.8333333333333334,0.021276595744680854,0.7474307419571046,1
90,0.7916666666666666,0.08936170212765958,0.5571939231233243,1
298,0.6666666666666666,0.03829787234042553,0.06758266306970509,2
348,0.75,0.03404255319148936,0.15382037533512066,2
349,0.7916666666666666,0.05106382978723405,0.2037533512064343,2
369,0.625,0.05531914893617021,0.503239499530831,1
371,0.7083333333333334,0.0723404255319149,0.32182752459785524,2
396,0.75,0.03829787234042553,0.3325513851876676,2
468,0.75,0.021276595744680854,0.6209785522788203,1
491,0.7083333333333334,0.046808510638297884,0.642202859919571,1
493,0.7916666666666666,0.029787234042553193,0.6624218049597853,1
534,0.5,0.042553191489361715,0.2478775692359249,2
538,0.6666666666666666,0.06382978723404256,0.4223637176273457,1
539,0.7083333333333334,0.06808510638297872,0.5329535299597854,1
540,0.75,0.05106382978723405,0.6362823947721178,1
559,0.5416666666666666,0.042553191489361715,0.16052278820375335,2
560,0.5833333333333334,0.025531914893617023,0.15538427164879354,2
561,0.625,0.046808510638297884,0.20799821266756036,2
562,0.6666666666666666,0.07659574468085106,0.3061885611930295,2
585,0.625,0.046808510638297884,0.11047810542895442,2
610,0.6666666666666666,0.05531914893617021,0.10668007151474533,2
611,0.7083333333333334,0.0851063829787234,0.223637176072386,2
612,0.75,0.08936170212765958,0.3752234137399463,2
635,0.7083333333333334,0.07659574468085106,0.12086684537533512,2
653,0.4583333333333333,0.03829787234042553,0.7058757821715818,1
657,0.625,0.07659574468085106,0.10958445040214476,2
658,0.6666666666666666,0.017021276595744685,0.04211349416890081,2
659,0.7083333333333334,0.05106382978723405,0.07841823056300268,2
660,0.75,0.09361702127659577,0.19526362821715815,2
680,0.625,0.08936170212765958,0.22508936548257366,2
681,0.6666666666666666,0.05106382978723405,0.09361036642091153,2
682,0.7083333333333334,0.004255319148936171,0.06680071494638071,2
683,0.75,0.0723404255319149,0.1272341376005362,2
701,0.5,0.025531914893617023,0.6853217158176943,1
704,0.625,0.09787234042553193,0.34148793565683644,2
705,0.6666666666666666,0.07659574468085106,0.1831992850536193,2
706,0.7083333333333334,0.029787234042553193,0.09092940127345844,2
725,0.5,0.025531914893617023,0.6588471849865951,1
729,0.6666666666666666,0.0851063829787234,0.2960232350536193,2
733,0.8333333333333334,0.059574468085106386,0.2345844504021448,2
774,0.5833333333333334,0.017021276595744685,0.6285746199731902,1
775,0.625,0.017021276595744685,0.6248882928954422,1
776,0.6666666666666666,0.05106382978723405,0.5717158176943699,1
777,0.7083333333333334,0.046808510638297884,0.4813449508713137,1
779,0.7916666666666666,0.03404255319148936,0.26686773907506695,2
796,0.5,0.05106382978723405,0.364946380697051,2
801,0.7083333333333334,0.042553191489361715,0.5938337801608577,1
822,0.5833333333333334,0.06382978723404256,0.4130920464477211,1
823,0.625,0.03829787234042553,0.5130697050938337,1
824,0.6666666666666666,0.03829787234042553,0.5863494189008042,1
825,0.7083333333333334,0.021276595744680854,0.6214253800268096,1
826,0.75,0.029787234042553193,0.6063449510723861,1
843,0.4583333333333333,0.01276595744680851,0.19247095623324392,2
846,0.5833333333333334,0.05106382978723405,0.3026139410187667,2
847,0.625,0.0723404255319149,0.4092940125335121,1
848,0.6666666666666666,0.06808510638297872,0.5213360142761393,1
849,0.7083333333333334,0.05531914893617021,0.6204200180965148,1
850,0.75,0.021276595744680854,0.6772788203753349,1
851,0.7916666666666666,0.017021276595744685,0.6757149242627346,1
867,0.4583333333333333,0.0723404255319149,0.2325737265415549,2
872,0.6666666666666666,0.08085106382978724,0.4085120643431636,1
873,0.7083333333333334,0.0851063829787234,0.5568588024798927,1
874,0.75,0.05106382978723405,0.6729222520107238,1
892,0.5,0.0723404255319149,0.2069928507372654,2
894,0.5833333333333334,0.021276595744680854,0.09986595174262736,2
895,0.625,0.07659574468085106,0.16923592493297587,2
897,0.7083333333333334,0.0851063829787234,0.44247095623324384,1
898,0.75,0.09787234042553193,0.6015827104557641,1
918,0.5833333333333334,0.025531914893617023,0.07629579979892763,2
921,0.7083333333333334,0.1021276595744681,0.31914655945040205,2
922,0.75,0.08936170212765958,0.4840259160187666,1
943,0.625,0.017021276595744685,0.04378909738605899,2
944,0.6666666666666666,0.06382978723404256,0.09550938337801608,2
964,0.5,0.10638297872340426,0.5142984807640749,1
965,0.5416666666666666,0.1021276595744681,0.3372430741957104,2
969,0.7083333333333334,0.08085106382978724,0.13181411977211796,2
970,0.75,0.09361702127659577,0.2895442359249329,2
988,0.5,0.07659574468085106,0.5890303840482572,1
990,0.5833333333333334,0.09787234042553193,0.2782618409517427,2
991,0.625,0.05531914893617021,0.13270777479892762,2
992,0.6666666666666666,0.029787234042553193,0.058199285053619286,2
993,0.7083333333333334,0.042553191489361715,0.07964700623324394,2
994,0.75,0.08085106382978724,0.19693923143431635,2
1018,0.75,0.06808510638297872,0.1647676496648793,2
1019,0.7916666666666666,0.0851063829787234,0.2944593386729222,2
1035,0.4583333333333333,0.021276595744680854,0.6846514745308311,1
1039,0.625,0.08085106382978724,0.33020554068364605,2
1040,0.6666666666666666,0.06808510638297872,0.20688114390080425,2
1041,0.7083333333333334,0.00851063829787234,0.14075067024128687,2
1064,0.6666666666666666,0.06382978723404256,0.3021671134718499,2
1065,0.7083333333333334,0.03829787234042553,0.2125781948391421,2
1089,0.7083333333333334,0.03404255319148936,0.3465147453083109,2
1090,0.75,0.01276595744680851,0.3026139410187667,2
1138,0.75,0.03829787234042553,0.4548704200402144,1
1157,0.5416666666666666,0.029787234042553193,0.4905049150804289,1
1182,0.5833333333333334,0.025531914893617023,0.4673815906836461,1
1183,0.625,0.03404255319148936,0.521112600536193,1
1184,0.6666666666666666,0.017021276595744685,0.5663538873994638,1
1186,0.75,0.017021276595744685,0.6127122432975871,1
1205,0.5416666666666666,0.029787234042553193,0.3433869526139409,2
1207,0.625,0.046808510638297884,0.4693923145442358,1
1209,0.7083333333333334,0.042553191489361715,0.6239946380697049,1
1232,0.6666666666666666,0.0723404255319149,0.5070375335120643,1
1278,0.5833333333333334,0.0,0.1713583556970509,2
1302,0.5833333333333334,0.03404255319148936,0.15046916890080428,2
1303,0.625,0.042553191489361715,0.1270107238605898,2
1326,0.5833333333333334,0.07659574468085106,0.17672028599195708,2
1328,0.6666666666666666,0.046808510638297884,0.10819105402144773,2
1329,0.7083333333333334,0.08936170212765958,0.21726988384718496,2
1350,0.5833333333333334,0.09787234042553193,0.27949061662198393,2
1351,0.625,0.06808510638297872,0.1284629133378016,2
1352,0.6666666666666666,0.004255319148936171,0.0901474530831099,2
1353,0.7083333333333334,0.06382978723404256,0.15214477211796246,2
1375,0.625,0.10638297872340426,0.2525692582439678,2
1544,0.6666666666666666,0.1148936170212766,0.2450848972520107,2
1545,0.7083333333333334,0.1148936170212766,0.40773011615281496,1
1555,0.75,0.13191489361702127,0.32462019658176944,2
1647,0.5833333333333334,0.059574468085106386,0.5626675603217157,1
1651,0.75,0.03829787234042553,0.17761394101876676,2
1695,0.5833333333333334,0.042553191489361715,0.5428954423592492,1
1697,0.6666666666666666,0.05106382978723405,0.5577524575737265,1
1698,0.7083333333333334,0.0851063829787234,0.5088248436327077,1
1699,0.75,0.07659574468085106,0.4187890973860589,1
1719,0.5833333333333334,0.042553191489361715,0.520554066152815,1
1722,0.7083333333333334,0.017021276595744685,0.55015638961126,1
1862,0.5416666666666666,0.046808510638297884,0.1726988382707775,2
1961,0.6666666666666666,0.06808510638297872,0.1341599642761394,2
1985,0.6666666666666666,0.046808510638297884,0.20062555851206434,2
1986,0.7083333333333334,0.017021276595744685,0.15527256481233245,2
2056,0.625,0.029787234042553193,0.577859696380697,1
2060,0.7916666666666666,0.029787234042553193,0.20051385167560326,2
2083,0.75,0.07659574468085106,0.39186773907506706,2
2084,0.7916666666666666,0.06382978723404256,0.28786863270777474,2
2102,0.6666666666666666,0.03404255319148936,0.6089142091152814,1
2159,0.7083333333333334,0.1021276595744681,0.4535299374664878,1
2160,0.7916666666666666,0.06808510638297872,0.7782618411528149,1
2173,0.7083333333333334,0.06382978723404256,0.12796550154155498,2
2216,0.75,0.05106382978723405,0.18020245911528146,2
2260,0.5833333333333334,0.025531914893617023,0.6257819483914209,1
2263,0.7083333333333334,0.059574468085106386,0.4566577300938337,1
2264,0.75,0.05531914893617021,0.37701072386058976,2
2282,0.5,0.0851063829787234,0.510053619302949,1
2285,0.625,0.017021276595744685,0.6048927613941019,1
2287,0.7083333333333334,0.06382978723404256,0.5730563002680964,1
2305,0.4583333333333333,0.05531914893617021,0.3725424485924933,2
2307,0.5416666666666666,0.06808510638297872,0.4814566577077748,1
2309,0.625,0.05106382978723405,0.5752904376675602,1
2310,0.6666666666666666,0.029787234042553193,0.6178507593833779,1
2311,0.7083333333333334,0.042553191489361715,0.6094727432975869,1
2312,0.75,0.029787234042553193,0.5711572833109919,1
2330,0.5,0.05106382978723405,0.35936103666219843,2
2333,0.625,0.03404255319148936,0.559092940147453,1
2335,0.7083333333333334,0.01276595744680851,0.6360589812332439,1
2336,0.75,0.021276595744680854,0.6363941018766756,1
2353,0.4583333333333333,0.017021276595744685,0.344950848994638,2
2354,0.5,0.01276595744680851,0.3466264522117962,2
2381,0.625,0.05531914893617021,0.4573279713806969,1
