,hour,wave_height,water_temp,current_speed,cluster
43,0.8333333333333334,0.07800586488633568,0.2618591633063816,0.4547770698990408,1
90,0.7916666666666666,0.08973607040228412,0.29655273999603793,0.3440239789471819,1
298,0.6666666666666666,0.07096774171752909,0.3435658516038793,0.4454852003177399,1
348,0.75,0.1847507331811732,0.39378314684554616,0.32184338694190723,1
349,0.7916666666666666,0.1782991200418297,0.3767678254645752,0.2209067065678184,1
369,0.625,0.10205278594769564,0.3522944906017369,0.2420382164902334,1
371,0.7083333333333334,0.09560117280835218,0.4096935770211236,0.27703259642718525,1
396,0.75,0.05219941373658637,0.4274270773209865,0.2811539901764059,1
468,0.75,0.2375366569472227,0.4493039188124055,0.25380292233905105,1
491,0.7083333333333334,0.159530792060887,0.4691919565318776,0.3282877481538941,1
493,0.7916666666666666,0.11847507310697365,0.4384759873861155,0.1814911951822237,1
534,0.5,0.3143695017746322,0.4061026811007966,0.32221805913362594,4
538,0.6666666666666666,0.2662756596519122,0.4243333823436459,0.04443611838594815,1
539,0.7083333333333334,0.22580645143127426,0.4276480552968913,0.19160734354933728,1
540,0.75,0.19413489717164453,0.4242781380154033,0.28250280995868776,1
559,0.5416666666666666,0.1102639298792408,0.4289739244781894,0.328962158045035,1
560,0.5833333333333334,0.1102639298792408,0.4504640543460414,0.2780816784201236,1
561,0.625,0.11143694993816702,0.4854890983310223,0.16230798044093486,2
562,0.6666666666666666,0.10205278594769564,0.4842184741409013,0.0787560884317591,2
585,0.625,0.03695014663623463,0.4706283150325956,0.274934432261466,1
610,0.6666666666666666,0.08211143720401443,0.5345462580390534,0.2917946795399887,3
611,0.7083333333333334,0.08093841644127586,0.5380819096311379,0.15968527536866775,2
612,0.75,0.07507331403520781,0.5700685036299558,0.06878980889637235,2
635,0.7083333333333334,0.258331112084066,0.5275151339945539,0.2866923259409338,4
653,0.4583333333333333,0.181818181626233,0.4482542725981893,0.4884975644560861,3
