hour,pred,drifting
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0,0
0.583333333,0,0
0.625,0.008916234,0
0.666666667,0.005227983,0
0.708333333,0.007011843,0
0.75,0.005227983,0
0.791666667,0.005227983,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0,0
0.583333333,0.00178386,0
0.625,0.007801029,0
0.666666667,0.013029011,0
0.708333333,0.008871695,0
0.75,0.008916234,0
0.791666667,0.011890916,0
0.833333333,0.023453557,1
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0,0
0.583333333,0.00178386,0
0.625,0.003688252,0
0.666666667,0,0
0.708333333,0.008916234,0
0.75,0.008916234,0
0.791666667,0.007011843,0
0.833333333,0.00178386,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0.003688252,0
0.541666667,0.008916234,0
0.583333333,0.003688252,0
0.625,0.003688252,0
0.666666667,0.003688252,0
0.708333333,0.007011843,0
0.75,0.007011843,0
0.791666667,0.022161929,1
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0.003688252,0
0.541666667,0.008916234,0
0.583333333,0.005227983,0
0.625,0.003688252,0
0.666666667,0.003688252,0
0.708333333,0.003688252,0
0.75,0.006047594,0
0.791666667,0.013404514,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0.005227983,0
0.583333333,0.007011843,0
0.625,0.00178386,0
0.666666667,0.007801029,0
0.708333333,0.006017169,0
0.75,0.003688252,0
0.791666667,0.005227983,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0.005227983,0
0.583333333,0.005227983,0
0.625,0.008916234,0
0.666666667,0,0
0.708333333,0.003688252,0
0.75,0.003688252,0
0.791666667,0.005227983,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0.003688252,0
0.541666667,0.008916234,0
0.583333333,0.005227983,0
0.625,0.005227983,0
0.666666667,0.005227983,0
0.708333333,0,0
0.75,0,0
0.791666667,0,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0,0
0.541666667,0.005227983,0
0.583333333,0.01846216,0
0.625,0.007011843,0
0.666666667,0.008916234,0
0.708333333,0.008916234,0
0.75,0.003688252,0
0.791666667,0,0
0.833333333,0.005227983,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0.003688252,0
0.541666667,0.005227983,0
0.583333333,0.013654629,0
0.625,0.008871695,0
0.666666667,0.007011843,0
0.708333333,0.008916234,0
0.75,0.007801029,0
0.791666667,0.007801029,0
0.833333333,0.007801029,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
1,0,0
0.041666667,0,0
0.083333333,0,0
0.125,0,0
0.166666667,0,0
0.208333333,0,0
0.25,0,0
0.291666667,0,0
0.333333333,0,0
0.375,0,0
0.416666667,0,0
0.458333333,0,0
0.5,0.006148402,0
0.541666667,0.008916234,0
0.583333333,0.010776086,0
0.625,0.015139151,0
0.666666667,0.019877546,0
0.708333333,0.008916234,0
0.75,0.008916234,0
0.791666667,0.005227983,0
0.833333333,0,0
0.875,0,0
0.916666667,0,0
0.958333333,0,0
