,hour,wave_height,current_dir,tide_variation,wind_dir,cluster
43,0.8333333333333334,0.07800586488633568,0.5721296297222221,0.06576980568011959,0.6775,4
90,0.7916666666666666,0.08973607040228412,0.5787962963888889,0.2862481315396114,0.6436111111111111,6
298,0.6666666666666666,0.07096774171752909,0.07168981480555556,0.1360239162929746,0.0,8
348,0.75,0.1847507331811732,0.1018981481388889,0.06726457399103139,0.03583333333333333,8
349,0.7916666666666666,0.1782991200418297,0.07516203702777778,0.2040358744394619,0.01888888888888889,8
369,0.625,0.10205278594769564,0.4976157408333333,0.1883408071748879,0.8877777777777779,10
371,0.7083333333333334,0.09560117280835218,0.16479166666666667,0.3512705530642751,0.9130555555555556,2
396,0.75,0.05219941373658637,0.15761574074999998,0.1973094170403588,0.8022222222222223,2
468,0.75,0.2375366569472227,0.5019675925,0.05680119581464872,0.8380555555555556,10
491,0.7083333333333334,0.159530792060887,0.5533333333333333,0.09267563527653214,0.9980555555555556,10
493,0.7916666666666666,0.11847507310697365,0.5348148147222223,0.08295964125560537,0.12027777777777778,7
534,0.5,0.3143695017746322,0.10629629630555557,0.1180866965620329,0.8105555555555556,11
538,0.6666666666666666,0.2662756596519122,0.6293287036111112,0.37518684603886404,0.6583333333333333,6
539,0.7083333333333334,0.22580645143127426,0.5802777777777778,0.31689088191330345,0.6547222222222222,6
540,0.75,0.19413489717164453,0.5728009258333334,0.2877428998505232,0.6583333333333333,6
559,0.5416666666666666,0.1102639298792408,0.08608796297222222,0.10762331838565024,0.7105555555555556,11
560,0.5833333333333334,0.1102639298792408,0.04826388888888889,0.07922272047832586,0.74,11
561,0.625,0.11143694993816702,0.13131944444444446,0.2443946188340808,0.7780555555555556,2
562,0.6666666666666666,0.10205278594769564,0.3219444444444445,0.3617339312406577,0.7930555555555555,12
585,0.625,0.03695014663623463,0.03893518519444445,0.33482810164424515,0.6969444444444445,12
610,0.6666666666666666,0.08211143720401443,0.044583333333333336,0.16292974588938716,0.7274999999999999,11
611,0.7083333333333334,0.08093841644127586,0.2817129630555556,0.32810164424514204,0.8122222222222222,12
612,0.75,0.07507331403520781,0.6781481480555556,0.31988041853512705,0.065,13
635,0.7083333333333334,0.258331112084066,0.20477272727777776,0.2219730941704036,0.6775,5
653,0.4583333333333333,0.181818181626233,0.5623379630555555,0.06427503736920777,0.4908333333333333,1
657,0.625,0.2129032258563996,0.09992424241666667,0.22571001494768314,0.6344444444444445,5
658,0.6666666666666666,0.20762463347979465,0.07835648147222221,0.03736920777279522,0.6569444444444444,11
659,0.7083333333333334,0.19589442796384615,0.12300925925,0.2309417040358745,0.6533333333333333,5
660,0.75,0.17947214080456825,0.17819444444444446,0.3236173393124066,0.5569444444444445,5
680,0.625,0.2269794721940128,0.14093434344444444,0.5994020926756353,0.525,3
681,0.6666666666666666,0.2363636361844841,0.0875,0.1696562032884903,0.5513888888888889,5
682,0.7083333333333334,0.22580645143127426,0.09745370369444444,0.021674140508221227,0.4994444444444445,5
683,0.75,0.23519061612555794,0.13636574075000002,0.17189835575485798,0.5244444444444445,5
701,0.5,0.19472140790492,0.5459027777777778,0.08221225710014947,0.5180555555555556,1
704,0.625,0.2084244204594544,0.22133838383333326,0.35276532137518685,0.5336111111111111,3
705,0.6666666666666666,0.20117302034045112,0.12472222222222222,0.2384155455904335,0.5433333333333333,5
706,0.7083333333333334,0.20938416427199627,0.0901388888888889,0.07249626307922273,0.5388888888888889,5
725,0.5,0.08328445726294065,0.551875,0.10986547085201794,0.5449999999999999,1
729,0.6666666666666666,0.124340176216854,0.17300925925000002,0.4835575485799701,0.5697222222222222,12
733,0.8333333333333334,0.12524660061589366,0.12156565655555555,0.3744394618834081,0.5494444444444445,5
774,0.5833333333333334,0.4299120233266656,0.5656944444444445,0.14050822122571002,0.5325,1
775,0.625,0.5348973608293015,0.5142592591666667,0.027653213751868463,0.5527777777777778,1
776,0.6666666666666666,0.606451613280106,0.4652314813888889,0.3430493273542601,0.5533333333333333,14
777,0.7083333333333334,0.5835777129814846,0.2746527777777778,0.13004484304932734,0.5566666666666666,14
779,0.7916666666666666,0.5853372437736862,0.11150462963888888,0.14499252615844546,0.6447222222222222,14
796,0.5,0.2621700880380458,0.5142824075,0.29745889387145,0.6441666666666667,6
801,0.7083333333333334,0.16891495605135834,0.4797685186111111,0.2847533632286996,0.6105555555555556,6
822,0.5833333333333334,0.25043988252209737,0.471643518611111,0.3385650224215247,0.5155555555555555,6
823,0.625,0.24750733167096955,0.5399305555555556,0.12855007473841554,0.5102777777777777,1
824,0.6666666666666666,0.2545454548397761,0.5603935186111111,0.11509715994020925,0.5197222222222222,1
825,0.7083333333333334,0.2228739005801464,0.5439583333333333,0.1046337817638266,0.5291666666666667,1
826,0.75,0.20586510268759295,0.4540046297222222,0.17264573991031393,0.5533333333333333,6
843,0.4583333333333333,0.20410557189539133,0.11067129630555557,0.09267563527653214,0.5591666666666667,11
846,0.5833333333333334,0.15777126126868532,0.4793518519444444,0.1360239162929746,0.5733333333333334,1
847,0.625,0.14604105575273693,0.5647222222222222,0.29820627802690586,0.6097222222222223,6
848,0.6666666666666666,0.13724340179172867,0.5641435186111111,0.22571001494768314,0.6422222222222221,6
849,0.7083333333333334,0.1284457478307204,0.5668287036111112,0.1532137518684604,0.6308333333333334,4
