,hour,tide_variation,current_speed,tide_height,wind_speed,cluster
43,0.8333333333333334,0.06576980568011959,0.4547770698990408,0.7474307419571046,0.2358490566037736,5
90,0.7916666666666666,0.2862481315396114,0.3440239789471819,0.5571939231233243,0.05660377358490566,5
298,0.6666666666666666,0.1360239162929746,0.4454852003177399,0.06758266306970509,0.03773584905660378,7
348,0.75,0.06726457399103139,0.32184338694190723,0.15382037533512066,0.3207547169811321,2
349,0.7916666666666666,0.2040358744394619,0.2209067065678184,0.2037533512064343,0.2358490566037736,7
369,0.625,0.1883408071748879,0.2420382164902334,0.503239499530831,0.2169811320754717,1
371,0.7083333333333334,0.3512705530642751,0.27703259642718525,0.32182752459785524,0.22641509433962265,3
396,0.75,0.1973094170403588,0.2811539901764059,0.3325513851876676,0.0660377358490566,7
468,0.75,0.05680119581464872,0.25380292233905105,0.6209785522788203,0.339622641509434,5
491,0.7083333333333334,0.09267563527653214,0.3282877481538941,0.642202859919571,0.16037735849056606,5
493,0.7916666666666666,0.08295964125560537,0.1814911951822237,0.6624218049597853,0.2924528301886793,5
534,0.5,0.1180866965620329,0.32221805913362594,0.2478775692359249,0.2641509433962264,7
538,0.6666666666666666,0.37518684603886404,0.04443611838594815,0.4223637176273457,0.3962264150943397,3
539,0.7083333333333334,0.31689088191330345,0.19160734354933728,0.5329535299597854,0.3490566037735849,6
540,0.75,0.2877428998505232,0.28250280995868776,0.6362823947721178,0.339622641509434,5
559,0.5416666666666666,0.10762331838565024,0.328962158045035,0.16052278820375335,0.28301886792452835,7
560,0.5833333333333334,0.07922272047832586,0.2780816784201236,0.15538427164879354,0.2075471698113208,7
561,0.625,0.2443946188340808,0.16230798044093486,0.20799821266756036,0.19811320754716985,7
562,0.6666666666666666,0.3617339312406577,0.0787560884317591,0.3061885611930295,0.16037735849056606,3
585,0.625,0.33482810164424515,0.274934432261466,0.11047810542895442,0.28301886792452835,7
610,0.6666666666666666,0.16292974588938716,0.2917946795399887,0.10668007151474533,0.2358490566037736,7
611,0.7083333333333334,0.32810164424514204,0.15968527536866775,0.223637176072386,0.169811320754717,3
