hour,dif_tide_height,water_temp,current_speed,wind_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.029787234,0.174738509,0.431772199,0.339622642,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.055319149,0.166672805,0.382090671,0.264150943,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.080851064,0.16479449,0.21251405,0.528301887,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.093617021,0.167501473,0.064818284,0.339622642,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.09787234,0.167832941,0.099213188,0.41509434,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.076595745,0.17341264,0.252978644,0.367924528,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.034042553,0.185511196,0.368977145,0.433962264,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.055319149,0.186947555,0.335481454,0.235849057,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.076595745,0.188162934,0.322967403,0.462264151,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.080851064,0.186339864,0.196178344,0.462264151,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.076595745,0.199046111,0.167103784,0.509433962,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.046808511,0.206890837,0.317647059,0.5,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.063829787,0.199653801,0.32798801,0.396226415,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.055319149,0.219265616,0.294792057,0.20754717,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.072340426,0.236778138,0.202322967,0.150943396,0.253798034,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.072340426,0.244070419,0.037766954,0.141509434,0.363827419,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.089361702,0.237220094,0.142300487,0.132075472,0.480563003,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.75,0.063829787,0.252578079,0.278905957,0.103773585,0.605786416,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.791666667,0.05106383,0.253627725,0.400524541,0,0.696045576,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.833333333,0.025531915,0.241971126,0.356837767,0.075471698,0.729445934,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.875,0.042553191,0.21992855,0.323716748,0.08490566,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.085106383,0.182969947,0.152191832,0.132075472,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.089361702,0.189599293,0.184938179,0.226415094,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.114893617,0.205454479,0.382914949,0.254716981,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.046808511,0.180152475,0.456650431,0.254716981,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.017021277,0.196946818,0.435893593,0.339622642,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.05106383,0.18871538,0.370550768,0.29245283,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.085106383,0.215508986,0.252603971,0.254716981,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.119148936,0.229927814,0.116672911,0.264150943,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.059574468,0.225342516,0.087523417,0.330188679,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.055319149,0.23230333,0.189584114,0.028301887,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.017021277,0.218547437,0.348070438,0.132075472,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.063829787,0.205123011,0.378269015,0.047169811,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.093617021,0.188273424,0.369201948,0.103773585,0.525022341,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.068085106,0.185811095,0.097939303,0.20754717,0.407283289,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.080851064,0.204239098,0.199400524,0.320754717,0.271112601,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.05106383,0.222635533,0.327913076,0.433962264,0.171470063,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.029787234,0.27202416,0.351592357,0.358490566,0.136617516,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.05106383,0.283515027,0.271487448,0.264150943,0.15113941,0,1,6,0.123239437,0.201466068,0.034248581,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.030520565
0.666666667,0.080851064,0.268930466,0.104608468,0.349056604,0.258378016,0,1,6,0.123239437,0.201466068,0.034248581,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.030520565
0.708333333,0.072340426,0.276443724,0.103859123,0.330188679,0.394883825,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.75,0.093617021,0.287050678,0.276133383,0.198113208,0.534182306,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.791666667,0.059574468,0.283128315,0.367103784,0.075471698,0.673815907,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.833333333,0.021276596,0.261859163,0.45477707,0.235849057,0.747430742,1,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.875,0.029787234,0.271858426,0.419258149,0.169811321,0.750670241,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.055319149,0.226613141,0.304233795,0.075471698,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.09787234,0.200592958,0.168077932,0.113207547,0.545911528,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.093617021,0.221585887,0.304233795,0.066037736,0.367515639,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.085106383,0.211641868,0.502884975,0.018867925,0.203522612,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.029787234,0.205343989,0.540352192,0.08490566,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.034042553,0.213962139,0.458448857,0.047169811,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.076595745,0.198106953,0.297414762,0.169811321,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.106382979,0.202692251,0.104083927,0.150943396,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
