,hour,current_dir,water_temp,wave_height,current_speed,wind_speed,tide_variation,cluster
43,0.8333333333333334,0.5721296297222221,0.2618591633063816,0.07800586488633568,0.4547770698990408,0.2358490566037736,0.06576980568011959,13
90,0.7916666666666666,0.5787962963888889,0.29655273999603793,0.08973607040228412,0.3440239789471819,0.05660377358490566,0.2862481315396114,6
298,0.6666666666666666,0.07168981480555556,0.3435658516038793,0.07096774171752909,0.4454852003177399,0.03773584905660378,0.1360239162929746,16
348,0.75,0.1018981481388889,0.39378314684554616,0.1847507331811732,0.32184338694190723,0.3207547169811321,0.06726457399103139,17
349,0.7916666666666666,0.07516203702777778,0.3767678254645752,0.1782991200418297,0.2209067065678184,0.2358490566037736,0.2040358744394619,17
369,0.625,0.4976157408333333,0.3522944906017369,0.10205278594769564,0.2420382164902334,0.2169811320754717,0.1883408071748879,15
371,0.7083333333333334,0.16479166666666667,0.4096935770211236,0.09560117280835218,0.27703259642718525,0.22641509433962265,0.3512705530642751,5
396,0.75,0.15761574074999998,0.4274270773209865,0.05219941373658637,0.2811539901764059,0.0660377358490566,0.1973094170403588,17
468,0.75,0.5019675925,0.4493039188124055,0.2375366569472227,0.25380292233905105,0.339622641509434,0.05680119581464872,21
491,0.7083333333333334,0.5533333333333333,0.4691919565318776,0.159530792060887,0.3282877481538941,0.16037735849056606,0.09267563527653214,21
493,0.7916666666666666,0.5348148147222223,0.4384759873861155,0.11847507310697365,0.1814911951822237,0.2924528301886793,0.08295964125560537,21
534,0.5,0.10629629630555557,0.4061026811007966,0.3143695017746322,0.32221805913362594,0.2641509433962264,0.1180866965620329,16
538,0.6666666666666666,0.6293287036111112,0.4243333823436459,0.2662756596519122,0.04443611838594815,0.3962264150943397,0.37518684603886404,22
539,0.7083333333333334,0.5802777777777778,0.4276480552968913,0.22580645143127426,0.19160734354933728,0.3490566037735849,0.31689088191330345,22
540,0.75,0.5728009258333334,0.4242781380154033,0.19413489717164453,0.28250280995868776,0.339622641509434,0.2877428998505232,22
