,hour,wave_height,current_speed,wind_speed,tide_variation,tide_height,cluster
43,0.8333333333333334,0.07800586488633568,0.4547770698990408,0.2358490566037736,0.06576980568011959,0.7474307419571046,5
90,0.7916666666666666,0.08973607040228412,0.3440239789471819,0.05660377358490566,0.2862481315396114,0.5571939231233243,12
298,0.6666666666666666,0.07096774171752909,0.4454852003177399,0.03773584905660378,0.1360239162929746,0.06758266306970509,6
348,0.75,0.1847507331811732,0.32184338694190723,0.3207547169811321,0.06726457399103139,0.15382037533512066,11
349,0.7916666666666666,0.1782991200418297,0.2209067065678184,0.2358490566037736,0.2040358744394619,0.2037533512064343,8
369,0.625,0.10205278594769564,0.2420382164902334,0.2169811320754717,0.1883408071748879,0.503239499530831,7
371,0.7083333333333334,0.09560117280835218,0.27703259642718525,0.22641509433962265,0.3512705530642751,0.32182752459785524,3
396,0.75,0.05219941373658637,0.2811539901764059,0.0660377358490566,0.1973094170403588,0.3325513851876676,8
468,0.75,0.2375366569472227,0.25380292233905105,0.339622641509434,0.05680119581464872,0.6209785522788203,5
491,0.7083333333333334,0.159530792060887,0.3282877481538941,0.16037735849056606,0.09267563527653214,0.642202859919571,5
493,0.7916666666666666,0.11847507310697365,0.1814911951822237,0.2924528301886793,0.08295964125560537,0.6624218049597853,5
534,0.5,0.3143695017746322,0.32221805913362594,0.2641509433962264,0.1180866965620329,0.2478775692359249,1
538,0.6666666666666666,0.2662756596519122,0.04443611838594815,0.3962264150943397,0.37518684603886404,0.4223637176273457,2
539,0.7083333333333334,0.22580645143127426,0.19160734354933728,0.3490566037735849,0.31689088191330345,0.5329535299597854,2
540,0.75,0.19413489717164453,0.28250280995868776,0.339622641509434,0.2877428998505232,0.6362823947721178,12
559,0.5416666666666666,0.1102639298792408,0.328962158045035,0.28301886792452835,0.10762331838565024,0.16052278820375335,6
560,0.5833333333333334,0.1102639298792408,0.2780816784201236,0.2075471698113208,0.07922272047832586,0.15538427164879354,6
561,0.625,0.11143694993816702,0.16230798044093486,0.19811320754716985,0.2443946188340808,0.20799821266756036,8
562,0.6666666666666666,0.10205278594769564,0.0787560884317591,0.16037735849056606,0.3617339312406577,0.3061885611930295,3
585,0.625,0.03695014663623463,0.274934432261466,0.28301886792452835,0.33482810164424515,0.11047810542895442,8
610,0.6666666666666666,0.08211143720401443,0.2917946795399887,0.2358490566037736,0.16292974588938716,0.10668007151474533,6
611,0.7083333333333334,0.08093841644127586,0.15968527536866775,0.169811320754717,0.32810164424514204,0.223637176072386,3
612,0.75,0.07507331403520781,0.06878980889637235,0.11320754716981132,0.31988041853512705,0.3752234137399463,3
635,0.7083333333333334,0.258331112084066,0.2866923259409338,0.1320754716981132,0.2219730941704036,0.12086684537533512,8
653,0.4583333333333333,0.181818181626233,0.4884975644560861,0.2358490566037736,0.06427503736920777,0.7058757821715818,4
657,0.625,0.2129032258563996,0.4365339417217237,0.4150943396226416,0.22571001494768314,0.10958445040214476,11
658,0.6666666666666666,0.20762463347979465,0.4637692017809195,0.5660377358490567,0.03736920777279522,0.04211349416890081,11
659,0.7083333333333334,0.19589442796384615,0.3826901460392605,0.30188679245283023,0.2309417040358745,0.07841823056300268,11
660,0.75,0.17947214080456825,0.15339078305135265,0.14150943396226418,0.3236173393124066,0.19526362821715815,3
680,0.625,0.2269794721940128,0.3491467692341286,0.33018867924528306,0.5994020926756353,0.22508936548257366,3
681,0.6666666666666666,0.2363636361844841,0.4668415135372019,0.3962264150943397,0.1696562032884903,0.09361036642091153,11
682,0.7083333333333334,0.22580645143127426,0.468040464424812,0.3584905660377359,0.021674140508221227,0.06680071494638071,11
683,0.75,0.23519061612555794,0.2472836267246889,0.24528301886792456,0.17189835575485798,0.1272341376005362,6
701,0.5,0.19472140790492,0.4328212812807344,0.4433962264150944,0.08221225710014947,0.6853217158176943,4
704,0.625,0.2084244204594544,0.2625770631831538,0.3679245283018868,0.35276532137518685,0.34148793565683644,2
705,0.6666666666666666,0.20117302034045112,0.4217309852331365,0.3867924528301887,0.2384155455904335,0.1831992850536193,11
706,0.7083333333333334,0.20938416427199627,0.5110378417366359,0.2924528301886793,0.07249626307922273,0.09092940127345844,11
725,0.5,0.08328445726294065,0.4221805918272303,0.28301886792452835,0.10986547085201794,0.6588471849865951,4
729,0.6666666666666666,0.124340176216854,0.28160359677049984,0.3113207547169811,0.4835575485799701,0.2960232350536193,3
733,0.8333333333333334,0.12524660061589366,0.1850812356757041,0.17924528301886794,0.3744394618834081,0.2345844504021448,3
774,0.5833333333333334,0.4299120233266656,0.19408017981685394,0.5283018867924528,0.14050822122571002,0.6285746199731902,10
775,0.625,0.5348973608293015,0.2139378043593624,0.6698113207547169,0.027653213751868463,0.6248882928954422,10
776,0.6666666666666666,0.606451613280106,0.15766204569524506,0.6886792452830189,0.3430493273542601,0.5717158176943699,10
777,0.7083333333333334,0.5835777129814846,0.1637317347155132,0.6509433962264152,0.13004484304932734,0.4813449508713137,10
