,hour,wave_height,current_dir,tide_height,wind_speed,cluster
43,0.8333333333333334,0.07800586488633568,0.5721296297222221,0.7474307419571046,0.2358490566037736,8
90,0.7916666666666666,0.08973607040228412,0.5787962963888889,0.5571939231233243,0.05660377358490566,8
298,0.6666666666666666,0.07096774171752909,0.07168981480555556,0.06758266306970509,0.03773584905660378,1
348,0.75,0.1847507331811732,0.1018981481388889,0.15382037533512066,0.3207547169811321,7
349,0.7916666666666666,0.1782991200418297,0.07516203702777778,0.2037533512064343,0.2358490566037736,7
369,0.625,0.10205278594769564,0.4976157408333333,0.503239499530831,0.2169811320754717,8
371,0.7083333333333334,0.09560117280835218,0.16479166666666667,0.32182752459785524,0.22641509433962265,6
396,0.75,0.05219941373658637,0.15761574074999998,0.3325513851876676,0.0660377358490566,6
468,0.75,0.2375366569472227,0.5019675925,0.6209785522788203,0.339622641509434,2
491,0.7083333333333334,0.159530792060887,0.5533333333333333,0.642202859919571,0.16037735849056606,8
493,0.7916666666666666,0.11847507310697365,0.5348148147222223,0.6624218049597853,0.2924528301886793,8
534,0.5,0.3143695017746322,0.10629629630555557,0.2478775692359249,0.2641509433962264,7
538,0.6666666666666666,0.2662756596519122,0.6293287036111112,0.4223637176273457,0.3962264150943397,2
539,0.7083333333333334,0.22580645143127426,0.5802777777777778,0.5329535299597854,0.3490566037735849,2
540,0.75,0.19413489717164453,0.5728009258333334,0.6362823947721178,0.339622641509434,2
559,0.5416666666666666,0.1102639298792408,0.08608796297222222,0.16052278820375335,0.28301886792452835,1
560,0.5833333333333334,0.1102639298792408,0.04826388888888889,0.15538427164879354,0.2075471698113208,1
561,0.625,0.11143694993816702,0.13131944444444446,0.20799821266756036,0.19811320754716985,1
562,0.6666666666666666,0.10205278594769564,0.3219444444444445,0.3061885611930295,0.16037735849056606,3
585,0.625,0.03695014663623463,0.03893518519444445,0.11047810542895442,0.28301886792452835,1
610,0.6666666666666666,0.08211143720401443,0.044583333333333336,0.10668007151474533,0.2358490566037736,1
611,0.7083333333333334,0.08093841644127586,0.2817129630555556,0.223637176072386,0.169811320754717,3
612,0.75,0.07507331403520781,0.6781481480555556,0.3752234137399463,0.11320754716981132,8
635,0.7083333333333334,0.258331112084066,0.20477272727777776,0.12086684537533512,0.1320754716981132,1
653,0.4583333333333333,0.181818181626233,0.5623379630555555,0.7058757821715818,0.2358490566037736,4
657,0.625,0.2129032258563996,0.09992424241666667,0.10958445040214476,0.4150943396226416,7
658,0.6666666666666666,0.20762463347979465,0.07835648147222221,0.04211349416890081,0.5660377358490567,7
659,0.7083333333333334,0.19589442796384615,0.12300925925,0.07841823056300268,0.30188679245283023,7
660,0.75,0.17947214080456825,0.17819444444444446,0.19526362821715815,0.14150943396226418,1
680,0.625,0.2269794721940128,0.14093434344444444,0.22508936548257366,0.33018867924528306,7
681,0.6666666666666666,0.2363636361844841,0.0875,0.09361036642091153,0.3962264150943397,7
682,0.7083333333333334,0.22580645143127426,0.09745370369444444,0.06680071494638071,0.3584905660377359,7
683,0.75,0.23519061612555794,0.13636574075000002,0.1272341376005362,0.24528301886792456,7
701,0.5,0.19472140790492,0.5459027777777778,0.6853217158176943,0.4433962264150944,2
704,0.625,0.2084244204594544,0.22133838383333326,0.34148793565683644,0.3679245283018868,6
705,0.6666666666666666,0.20117302034045112,0.12472222222222222,0.1831992850536193,0.3867924528301887,7
706,0.7083333333333334,0.20938416427199627,0.0901388888888889,0.09092940127345844,0.2924528301886793,7
725,0.5,0.08328445726294065,0.551875,0.6588471849865951,0.28301886792452835,4
729,0.6666666666666666,0.124340176216854,0.17300925925000002,0.2960232350536193,0.3113207547169811,6
