hour,wind_dir,wind_speed,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.339622641509434,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.08333333333333333,0.5272222222222223,0.2641509433962264,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.125,0.5763888888888888,0.5283018867924528,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.16666666666666666,0.5341666666666667,0.339622641509434,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.20833333333333331,0.555,0.4150943396226416,0.09787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.25,0.5705555555555556,0.3679245283018868,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.2916666666666667,0.5955555555555556,0.4339622641509434,0.03404255319148936,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.3333333333333333,0.5486111111111112,0.2358490566037736,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.375,0.6222222222222222,0.4622641509433963,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.4166666666666667,0.61,0.4622641509433963,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.0,0.0
0.4583333333333333,0.6030555555555556,0.5094339622641509,0.07659574468085106,0,1,4,0.14415584415584415,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.137012987012987,0.01975122280317085
0.5,0.5938888888888889,0.5,0.046808510638297884,0,1,4,0.14415584415584415,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.137012987012987,0.01975122280317085
0.5416666666666666,0.6180555555555556,0.3962264150943397,0.06382978723404256,0,1,4,0.14415584415584415,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3310087173100872,0.137012987012987,0.01975122280317085
