,hour,current_speed,wind_speed,cluster
43,0.8333333333333334,0.4547770698990408,0.2358490566037736,1
90,0.7916666666666666,0.3440239789471819,0.05660377358490566,1
298,0.6666666666666666,0.4454852003177399,0.03773584905660378,1
348,0.75,0.32184338694190723,0.3207547169811321,1
349,0.7916666666666666,0.2209067065678184,0.2358490566037736,1
369,0.625,0.2420382164902334,0.2169811320754717,1
371,0.7083333333333334,0.27703259642718525,0.22641509433962265,1
396,0.75,0.2811539901764059,0.0660377358490566,1
468,0.75,0.25380292233905105,0.339622641509434,1
491,0.7083333333333334,0.3282877481538941,0.16037735849056606,1
493,0.7916666666666666,0.1814911951822237,0.2924528301886793,1
534,0.5,0.32221805913362594,0.2641509433962264,1
538,0.6666666666666666,0.04443611838594815,0.3962264150943397,1
539,0.7083333333333334,0.19160734354933728,0.3490566037735849,1
540,0.75,0.28250280995868776,0.339622641509434,1
559,0.5416666666666666,0.328962158045035,0.28301886792452835,1
560,0.5833333333333334,0.2780816784201236,0.2075471698113208,1
561,0.625,0.16230798044093486,0.19811320754716985,1
562,0.6666666666666666,0.0787560884317591,0.16037735849056606,1
585,0.625,0.274934432261466,0.28301886792452835,1
610,0.6666666666666666,0.2917946795399887,0.2358490566037736,1
611,0.7083333333333334,0.15968527536866775,0.169811320754717,1
612,0.75,0.06878980889637235,0.11320754716981132,1
635,0.7083333333333334,0.2866923259409338,0.1320754716981132,1
653,0.4583333333333333,0.4884975644560861,0.2358490566037736,1
657,0.625,0.4365339417217237,0.4150943396226416,1
658,0.6666666666666666,0.4637692017809195,0.5660377358490567,1
659,0.7083333333333334,0.3826901460392605,0.30188679245283023,1
660,0.75,0.15339078305135265,0.14150943396226418,1
680,0.625,0.3491467692341286,0.33018867924528306,1
681,0.6666666666666666,0.4668415135372019,0.3962264150943397,1
682,0.7083333333333334,0.468040464424812,0.3584905660377359,1
683,0.75,0.2472836267246889,0.24528301886792456,1
701,0.5,0.4328212812807344,0.4433962264150944,1
704,0.625,0.2625770631831538,0.3679245283018868,1
705,0.6666666666666666,0.4217309852331365,0.3867924528301887,1
706,0.7083333333333334,0.5110378417366359,0.2924528301886793,1
725,0.5,0.4221805918272303,0.28301886792452835,1
729,0.6666666666666666,0.28160359677049984,0.3113207547169811,1
733,0.8333333333333334,0.1850812356757041,0.17924528301886794,1
