,hour,wave_height,water_temp,cluster
43,0.8333333333333334,0.07800586488633568,0.2618591633063816,2
90,0.7916666666666666,0.08973607040228412,0.29655273999603793,2
298,0.6666666666666666,0.07096774171752909,0.3435658516038793,2
348,0.75,0.1847507331811732,0.39378314684554616,2
349,0.7916666666666666,0.1782991200418297,0.3767678254645752,2
369,0.625,0.10205278594769564,0.3522944906017369,2
371,0.7083333333333334,0.09560117280835218,0.4096935770211236,2
396,0.75,0.05219941373658637,0.4274270773209865,2
468,0.75,0.2375366569472227,0.4493039188124055,2
491,0.7083333333333334,0.159530792060887,0.4691919565318776,2
493,0.7916666666666666,0.11847507310697365,0.4384759873861155,2
534,0.5,0.3143695017746322,0.4061026811007966,4
538,0.6666666666666666,0.2662756596519122,0.4243333823436459,2
539,0.7083333333333334,0.22580645143127426,0.4276480552968913,2
540,0.75,0.19413489717164453,0.4242781380154033,2
559,0.5416666666666666,0.1102639298792408,0.4289739244781894,2
560,0.5833333333333334,0.1102639298792408,0.4504640543460414,2
561,0.625,0.11143694993816702,0.4854890983310223,2
562,0.6666666666666666,0.10205278594769564,0.4842184741409013,2
585,0.625,0.03695014663623463,0.4706283150325956,2
610,0.6666666666666666,0.08211143720401443,0.5345462580390534,3
611,0.7083333333333334,0.08093841644127586,0.5380819096311379,3
612,0.75,0.07507331403520781,0.5700685036299558,3
635,0.7083333333333334,0.258331112084066,0.5275151339945539,3
653,0.4583333333333333,0.181818181626233,0.4482542725981893,1
657,0.625,0.2129032258563996,0.4756254350988879,2
658,0.6666666666666666,0.20762463347979465,0.5448217441941139,3
659,0.7083333333333334,0.19589442796384615,0.5679692105385887,3
660,0.75,0.17947214080456825,0.5573070127599609,3
680,0.625,0.2269794721940128,0.4511571226285085,2
681,0.6666666666666666,0.2363636361844841,0.503885533221534,3
682,0.7083333333333334,0.22580645143127426,0.5591853272124887,3
683,0.75,0.23519061612555794,0.5651517385283302,3
701,0.5,0.19472140790492,0.503940778212711,1
704,0.625,0.2084244204594544,0.474118765755486,2
705,0.6666666666666666,0.20117302034045112,0.5015652621542621,3
706,0.7083333333333334,0.20938416427199627,0.5476502653351947,3
725,0.5,0.08328445726294065,0.5392420451647741,1
729,0.6666666666666666,0.124340176216854,0.5030568649832226,3
733,0.8333333333333334,0.12524660061589366,0.5383631543277443,3
