,hour,dif_tide_height,current_dir,wave_height,current_speed,wind_dir,cluster
43,0.8333333333333334,0.021276595744680854,0.5721296297222221,0.07800586488633568,0.4547770698990408,0.6775,15
90,0.7916666666666666,0.08936170212765958,0.5787962963888889,0.08973607040228412,0.3440239789471819,0.6436111111111111,15
298,0.6666666666666666,0.03829787234042553,0.07168981480555556,0.07096774171752909,0.4454852003177399,0.0,29
348,0.75,0.03404255319148936,0.1018981481388889,0.1847507331811732,0.32184338694190723,0.03583333333333333,29
349,0.7916666666666666,0.05106382978723405,0.07516203702777778,0.1782991200418297,0.2209067065678184,0.01888888888888889,29
369,0.625,0.05531914893617021,0.4976157408333333,0.10205278594769564,0.2420382164902334,0.8877777777777779,3
371,0.7083333333333334,0.0723404255319149,0.16479166666666667,0.09560117280835218,0.27703259642718525,0.9130555555555556,41
396,0.75,0.03829787234042553,0.15761574074999998,0.05219941373658637,0.2811539901764059,0.8022222222222223,41
468,0.75,0.021276595744680854,0.5019675925,0.2375366569472227,0.25380292233905105,0.8380555555555556,21
491,0.7083333333333334,0.046808510638297884,0.5533333333333333,0.159530792060887,0.3282877481538941,0.9980555555555556,3
493,0.7916666666666666,0.029787234042553193,0.5348148147222223,0.11847507310697365,0.1814911951822237,0.12027777777777778,33
534,0.5,0.042553191489361715,0.10629629630555557,0.3143695017746322,0.32221805913362594,0.8105555555555556,18
538,0.6666666666666666,0.06382978723404256,0.6293287036111112,0.2662756596519122,0.04443611838594815,0.6583333333333333,7
539,0.7083333333333334,0.06808510638297872,0.5802777777777778,0.22580645143127426,0.19160734354933728,0.6547222222222222,7
540,0.75,0.05106382978723405,0.5728009258333334,0.19413489717164453,0.28250280995868776,0.6583333333333333,15
559,0.5416666666666666,0.042553191489361715,0.08608796297222222,0.1102639298792408,0.328962158045035,0.7105555555555556,37
560,0.5833333333333334,0.025531914893617023,0.04826388888888889,0.1102639298792408,0.2780816784201236,0.74,37
561,0.625,0.046808510638297884,0.13131944444444446,0.11143694993816702,0.16230798044093486,0.7780555555555556,40
562,0.6666666666666666,0.07659574468085106,0.3219444444444445,0.10205278594769564,0.0787560884317591,0.7930555555555555,16
585,0.625,0.046808510638297884,0.03893518519444445,0.03695014663623463,0.274934432261466,0.6969444444444445,37
610,0.6666666666666666,0.05531914893617021,0.044583333333333336,0.08211143720401443,0.2917946795399887,0.7274999999999999,37
611,0.7083333333333334,0.0851063829787234,0.2817129630555556,0.08093841644127586,0.15968527536866775,0.8122222222222222,16
612,0.75,0.08936170212765958,0.6781481480555556,0.07507331403520781,0.06878980889637235,0.065,5
635,0.7083333333333334,0.07659574468085106,0.20477272727777776,0.258331112084066,0.2866923259409338,0.6775,38
653,0.4583333333333333,0.03829787234042553,0.5623379630555555,0.181818181626233,0.4884975644560861,0.4908333333333333,39
657,0.625,0.07659574468085106,0.09992424241666667,0.2129032258563996,0.4365339417217237,0.6344444444444445,31
658,0.6666666666666666,0.017021276595744685,0.07835648147222221,0.20762463347979465,0.4637692017809195,0.6569444444444444,31
659,0.7083333333333334,0.05106382978723405,0.12300925925,0.19589442796384615,0.3826901460392605,0.6533333333333333,31
660,0.75,0.09361702127659577,0.17819444444444446,0.17947214080456825,0.15339078305135265,0.5569444444444445,38
680,0.625,0.08936170212765958,0.14093434344444444,0.2269794721940128,0.3491467692341286,0.525,8
681,0.6666666666666666,0.05106382978723405,0.0875,0.2363636361844841,0.4668415135372019,0.5513888888888889,8
682,0.7083333333333334,0.004255319148936171,0.09745370369444444,0.22580645143127426,0.468040464424812,0.4994444444444445,8
683,0.75,0.0723404255319149,0.13636574075000002,0.23519061612555794,0.2472836267246889,0.5244444444444445,38
701,0.5,0.025531914893617023,0.5459027777777778,0.19472140790492,0.4328212812807344,0.5180555555555556,39
704,0.625,0.09787234042553193,0.22133838383333326,0.2084244204594544,0.2625770631831538,0.5336111111111111,38
705,0.6666666666666666,0.07659574468085106,0.12472222222222222,0.20117302034045112,0.4217309852331365,0.5433333333333333,8
706,0.7083333333333334,0.029787234042553193,0.0901388888888889,0.20938416427199627,0.5110378417366359,0.5388888888888889,8
725,0.5,0.025531914893617023,0.551875,0.08328445726294065,0.4221805918272303,0.5449999999999999,39
729,0.6666666666666666,0.0851063829787234,0.17300925925000002,0.124340176216854,0.28160359677049984,0.5697222222222222,38
733,0.8333333333333334,0.059574468085106386,0.12156565655555555,0.12524660061589366,0.1850812356757041,0.5494444444444445,23
774,0.5833333333333334,0.017021276595744685,0.5656944444444445,0.4299120233266656,0.19408017981685394,0.5325,25
775,0.625,0.017021276595744685,0.5142592591666667,0.5348973608293015,0.2139378043593624,0.5527777777777778,25
776,0.6666666666666666,0.05106382978723405,0.4652314813888889,0.606451613280106,0.15766204569524506,0.5533333333333333,13
777,0.7083333333333334,0.046808510638297884,0.2746527777777778,0.5835777129814846,0.1637317347155132,0.5566666666666666,13
779,0.7916666666666666,0.03404255319148936,0.11150462963888888,0.5853372437736862,0.39932559002073614,0.6447222222222222,4
796,0.5,0.05106382978723405,0.5142824075,0.2621700880380458,0.11412514047050835,0.6441666666666667,30
801,0.7083333333333334,0.042553191489361715,0.4797685186111111,0.16891495605135834,0.1839640314497404,0.6105555555555556,7
822,0.5833333333333334,0.06382978723404256,0.471643518611111,0.25043988252209737,0.10168602473054987,0.5155555555555555,30
