hour,wind_dir,wind_speed,current_speed,water_temp,tide_height,dif_tide_height,tide_variation,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.339622641509434,0.4317721991978748,0.1747385089642719,0.21418054758713134,0.029787234042553193,0.07025411061285501,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.08333333333333333,0.5272222222222223,0.2641509433962264,0.3820906705504948,0.16667280521999814,0.2436327077747989,0.05531914893617021,0.1210762331838565,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.125,0.5763888888888888,0.5283018867924528,0.21251405017470532,0.16479449010453595,0.2906613047587131,0.08085106382978724,0.4775784753363229,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.16666666666666666,0.5341666666666667,0.339622641509434,0.06481828398787068,0.16750147345830935,0.4057193922922251,0.09361702127659577,0.2473841554559044,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.20833333333333331,0.555,0.4150943396226416,0.09921318846303323,0.16783294075363386,0.5089365504691689,0.09787234042553193,0.21001494768310916,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.25,0.5705555555555556,0.3679245283018868,0.25297864364315964,0.17341263978297386,0.6185210006702411,0.07659574468085106,0.2929745889387145,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.2916666666666667,0.5955555555555556,0.4339622641509434,0.3689771449193954,0.18551119606231925,0.6744861481233243,0.03404255319148936,0.1681614349775785,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.3333333333333333,0.5486111111111112,0.2358490566037736,0.3354814536593971,0.18694755456303705,0.6557193920911526,0.05531914893617021,0.2488789237668161,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.375,0.6222222222222222,0.4622641509433963,0.3229674034271421,0.1881629344249156,0.5802055408847184,0.07659574468085106,0.26681614349775784,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
0.4166666666666667,0.61,0.4622641509433963,0.19617834389265185,0.18633986430063065,0.4798927613941018,0.08085106382978724,0.3236173393124066,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.01692491060786651,0.0,0.0
